feature,importance_gain,importance_split
home_rolling10_touches_total,24.083319902420044,5
away_opp_ewma_alpha05_corners_total,23.90731978416443,6
away_ewma_alpha05_throw_ins_total,23.75471019744873,7
away_rolling3_throw_ins_total,23.025670051574707,6
away_opp_ewma_alpha03_passes_total,22.605039834976196,5
away_std_possession_pct,22.56591010093689,6
away_ewma_alpha05_passes_total,21.810590505599976,4
away_opp_ewma_alpha03_fouls_committed,21.605390310287476,4
away_opp_ewma_alpha05_touches_total,21.588709831237793,4
away_ewma_alpha05_touches_total,21.273109674453735,5
home_opp_rolling3_passes_total,20.657790184020996,5
away_rolling10_fouls_committed,20.36511993408203,5
away_rolling5_possession_pct,19.220150470733643,4
home_ewma_alpha03_possession_pct,19.180200338363647,6
away_rolling5_passes_total,18.930189847946167,3
away_ewma_alpha03_aerials_total,18.79885983467102,6
home_opp_rolling3_fouls_committed,18.74686026573181,7
away_ewma_alpha05_possession_pct,18.118810176849365,4
away_rolling3_fouls_committed,17.913530111312866,6
away_std_fouls_committed,17.88506007194519,6
away_rolling3_passes_total,17.88489007949829,7
away_opp_rolling10_passes_total,17.70777988433838,5
away_rolling5_throw_ins_total,17.477630138397217,4
away_opp_ewma_alpha05_aerials_total,17.433939933776855,5
away_opp_rolling5_throw_ins_total,17.257660150527954,4
home_days_since_last_match,16.653949975967407,6
away_ewma_alpha03_fouls_committed,16.281579971313477,5
home_rolling10_possession_pct,15.96783971786499,4
home_rolling5_touches_total,15.74321985244751,5
away_rolling10_passes_total,15.588800430297852,2
away_ewma_alpha03_possession_pct,15.549320459365845,4
away_opp_rolling3_possession_pct,15.032020092010498,2
away_std_passes_total,14.372509956359863,3
away_opp_rolling3_throw_ins_total,14.28341019153595,4
away_rolling5_fouls_committed,13.015729904174805,3
away_rolling5_corners_total,12.956130027770996,5
away_opp_rolling10_possession_pct,12.766440153121948,3
away_opp_ewma_alpha03_possession_pct,12.570639967918396,4
away_days_since_last_match,12.466359972953796,4
away_ewma_alpha03_passes_total,11.94107961654663,2
away_ewma_alpha03_touches_total,11.905799865722656,1
away_opp_rolling5_corners_total,10.68970012664795,4
home_opp_rolling5_touches_total,10.557829856872559,2
away_rolling10_corners_total,9.245579719543457,2
away_rolling5_touches_total,9.103809833526611,2
home_opp_ewma_alpha03_possession_pct,8.746430039405823,3
away_opp_ewma_alpha03_touches_total,8.143570184707642,2
away_opp_rolling10_touches_total,7.8817702531814575,3
away_rolling3_touches_total,7.554290056228638,2
away_opp_rolling3_fouls_committed,7.077660083770752,2
away_rolling3_aerials_total,5.147739887237549,1
away_opp_rolling5_touches_total,3.849560022354126,1
precipitation,0.0,0
pitch_width_m,0.0,0
away_rolling10_possession_pct,0.0,0
