feature,mean_abs_shap,shap_pct,cum_pct
std_y,0.07045304039394433,16.123868381746796,16.123868381746796
heads,0.03486895757457584,7.980102482411798,24.103970864158594
wide_events,0.02515258561752879,5.756415588169715,29.86038645232831
long_balls,0.024728886267387666,5.659447841754411,35.51983429408272
leading_pct,0.023060827026161333,5.277696145758029,40.79753043984075
balltouch_wide,0.012922240108374968,2.9573812221548414,43.75491166199559
opp_std_y,0.01273564833314445,2.9146778667267346,46.66958952872233
throw_in_def_zone_pct,0.012145999632996124,2.7797309860882535,49.44932051481058
crosses,0.011169149189208458,2.5561691937764897,52.00548970858707
h2h_avg_throw_ins,0.010806407378694795,2.473152177384085,54.47864188597116
avg_zone_x,0.010797754527980147,2.4711718877433575,56.94981377371452
opp_rolling10_aerials_total,0.009558546821184812,2.187567066002667,59.13738083971718
throw_in_retention3_pct,0.009467182189337849,2.1666573750878397,61.30403821480502
throw_in_att_zone_pct,0.009334874246069469,2.13637740631445,63.44041562111947
opp_std_aerials_total,0.009259142590690385,2.119045475189316,65.55946109630878
dispossessed_wide,0.008759541436960202,2.004706857564423,67.56416795387321
opp_std_throw_in_retention3_pct,0.00828523706373959,1.8961576559411335,69.46032560981435
total_events,0.008179188606785534,1.8718874278224682,71.33221303763682
opp_rolling5_direct_play,0.005931212498550408,1.3574160765249021,72.68962911416172
takeon_wide,0.005879851495316342,1.3456616078537142,74.03529072201543
ref_matches_count,0.0047220477590790245,1.080686882127189,75.11597760414261
rolling10_throw_ins_total,0.0037863392695328727,0.8665408290290739,75.98251843317169
capacity,0.0035180833781821596,0.8051478407267715,76.78766627389847
opp_rolling10_balltouch_wide,0.0034124029197801268,0.7809618326812833,77.56862810657975
opp_rolling10_throw_in_def_zone_pct,0.0033468146255191925,0.7659513091022685,78.33457941568201
opp_rolling5_throw_in_def_zone_pct,0.0032349293491476775,0.7403452676882668,79.07492468337028
opp_rolling5_balltouch_wide,0.003184642797839154,0.7288366978644968,79.80376138123478
opp_ewma_alpha03_balltouch_wide,0.002791101952400037,0.6387710206528276,80.4425324018876
std_foul_wide,0.0027300526032000127,0.624799279109973,81.06733168099758
ewma_alpha03_std_y,0.0027159132808500107,0.6215633566955001,81.68889503769309
opp_ewma_alpha03_heads,0.002593757815730215,0.5936068819899466,82.28250191968303
rolling5_throw_ins_total,0.0021355000066637076,0.48873009374943344,82.77123201343247
opp_ewma_alpha03_avg_zone_x,0.002118122205736305,0.48475301379162195,83.25598502722409
opp_ewma_alpha03_takeon_wide,0.0019201668625203232,0.4394489945238836,83.69543402174797
opp_rolling10_std_y,0.0018402227157936835,0.42115299349250457,84.11658701524047
rolling10_throw_in_def_zone_pct,0.0018000372875616435,0.4119561646252974,84.52854317986576
ref_rolling5_throw_ins,0.0017941515221116871,0.4106091495509971,84.93915232941676
opp_rolling5_aerials_total,0.0017672282980537933,0.40444750601234475,85.3435998354291
opp_rolling10_heads,0.0017479010091473247,0.4000242666352875,85.74362410206439
days_since_last_match,0.0016657396290848394,0.38122083003719776,86.12484493210158
ewma_alpha03_throw_in_def_zone_pct,0.001652245929550164,0.3781326647278885,86.50297759682947
opp_std_avg_pass_length,0.0016284672823702424,0.3726906884088934,86.87566828523836
ref_ewma_throw_ins,0.001620760179672338,0.37092684246540025,87.24659512770376
opp_ewma_alpha03_aerials_total,0.0015828110274783702,0.36224180727383165,87.60883693497759
rolling10_std_y,0.0015695636690139887,0.3592100195313701,87.96804695450896
opp_ewma_alpha05_heads,0.001514895897161746,0.34669876447211095,88.31474571898107
rolling3_throw_in_def_zone_pct,0.0014577164220948072,0.3336126815300335,88.6483584005111
wide_ratio,0.0013472047320644324,0.3083209988044811,88.95667939931558
opp_rolling10_aerial_wide,0.0013396545264034486,0.30659306028469385,89.26327245960027
pitch_length_m,0.0013327978364523925,0.3050238396281106,89.56829629922838
opp_ewma_alpha03_wide_ratio,0.001283952783572265,0.29384517083915745,89.86214147006754
opp_rolling10_passes_total,0.0012354945349402164,0.2827550259911252,90.14489649605866
rolling3_long_balls,0.001233003089127883,0.2821848342132587,90.42708133027192
rolling5_long_balls,0.0011382768522220342,0.2605058070537814,90.68758713732569
std_throw_ins_total,0.00111880389832319,0.25604923081643033,90.94363636814212
temperature_2m,0.0010406596392010957,0.23816515169325223,91.18180151983537
opp_std_long_balls,0.0009638898168303231,0.2205956258832233,91.4023971457186
opp_rolling3_crosses,0.0009276712525009459,0.21230665267557583,91.61470379839417
ref_rolling10_throw_ins,0.0009011799405913479,0.20624385646264085,91.82094765485681
opp_rolling5_passes_total,0.0008976959535618702,0.20544651190528887,92.0263941667621
ewma_alpha03_long_balls,0.0008839881031237987,0.20230933606412912,92.22870350282624
ewma_alpha05_dispossessed_wide,0.0008813877582421734,0.20171422166758876,92.43041772449382
rolling10_press_recoveries_high,0.0008748962584402255,0.2002285783536667,92.6306463028475
opp_rolling10_total_events,0.0008534078095634529,0.19531073634884163,92.82595703919634
opp_std_balltouch_wide,0.0008529890857565148,0.1952149073042238,93.02117194650056
opp_rolling3_aerials_total,0.0007797594088637663,0.1784555784625687,93.19962752496313
opp_std_passes_total,0.0007709092374659956,0.17643013005075228,93.37605765501388
std_throw_in_def_zone_pct,0.0007533259474482154,0.17240602190184207,93.54846367691572
opp_std_throw_in_def_zone_pct,0.0007526198826700908,0.17224443206146314,93.72070810897718
rolling10_aerial_wide,0.000744970970290622,0.17049390354231822,93.8912020125195
opp_ewma_alpha05_std_y,0.0007436738598703734,0.1701970471174466,94.06139905963694
opp_rolling5_press_recoveries_high,0.0007330047923078607,0.16775532650223943,94.22915438613919
rolling10_long_balls,0.0007092945072603401,0.16232899552685146,94.39148338166603
opp_rolling5_avg_zone_x,0.0006797167294006601,0.1555598313493035,94.54704321301534
opp_std_total_events,0.0006767537900421407,0.15488173365511274,94.70192494667046
opp_rolling3_corners_total,0.0006732840572417291,0.1540876513177027,94.85601259798817
rolling10_heads,0.0006696741183594524,0.15326148144513915,95.00927407943331
opp_ewma_alpha05_avg_pass_length,0.0006645787249525705,0.15209535075459132,95.1613694301879
avg_pass_length,0.0006596761780065809,0.15097335486554997,95.31234278505346
rolling10_throw_in_retention3_pct,0.0006431801755654796,0.14719808312854551,95.459540868182
opp_rolling10_crosses,0.0006315858107756705,0.14454459917958437,95.60408546736159
rolling5_aerial_wide,0.0006269108875531593,0.1434746972092356,95.74756016457083
opp_rolling5_dispossessed_wide,0.000600078956289036,0.13733394692065065,95.88489411149148
opp_rolling10_leading_pct,0.0005951391966103331,0.1362034345332291,96.0210975460247
opp_std_avg_zone_x,0.0005850655297290926,0.13389797719588123,96.15499552322059
std_aerial_wide,0.000580328679124937,0.1328139025376644,96.28780942575825
ewma_alpha05_takeon_wide,0.0005763200945987284,0.13189649870475262,96.419705924463
std_long_balls,0.0005499399217915679,0.12585913776401808,96.54556506222703
rolling3_possession_pct,0.0005491881753207222,0.12568709322080768,96.67125215544783
opp_rolling3_balltouch_wide,0.0005489593499217757,0.1256347242869138,96.79688687973474
rolling3_std_y,0.0005303260120915037,0.1213703024108956,96.91825718214564
std_aerials_total,0.0005115328325345092,0.1170692991900671,97.0353264813357
opp_ewma_alpha05_throw_in_att_zone_pct,0.0005070631406680755,0.116046366425798,97.1513728477615
opp_ewma_alpha05_fouls_committed,0.0005059576959476529,0.11579337457369729,97.26716622233519
ewma_alpha05_throw_in_def_zone_pct,0.0005002124029434216,0.11447850799452891,97.38164473032973
opp_rolling3_passes_total,0.0004984753987729313,0.11408097757615483,97.49572570790588
opp_rolling10_dispossessed_wide,0.0004897305965255278,0.11207964392649084,97.60780535183237
opp_ewma_alpha05_throw_in_retention3_pct,0.0004787595456103488,0.10956881146309877,97.71737416329546
opp_ewma_alpha03_throw_in_retention3_pct,0.0004668946247442692,0.10685340810598612,97.82422757140145
opp_rolling3_aerial_wide,0.0004590708973527991,0.10506287145903151,97.92929044286048
opp_rolling3_throw_ins_total,0.00044994993450495497,0.10297544977146326,98.03226589263194
opp_rolling5_crosses,0.0004453868117392329,0.10193113443073626,98.13419702706268
std_throw_in_retention3_pct,0.00043982316072701703,0.1006578384006241,98.2348548654633
opp_std_throw_in_att_zone_pct,0.0004395689908217223,0.10059966912820295,98.3354545345915
std_takeon_wide,0.0004260404340508168,0.09750352639895576,98.43295806099046
ewma_alpha05_leading_pct,0.0004158181592032922,0.09516405867290863,98.52812211966337
std_balltouch_wide,0.0003975108156409878,0.09097424377822896,98.6190963634416
opp_ewma_alpha03_corners_total,0.00038899010408586084,0.08902419547846098,98.70812055892006
rolling5_takeon_wide,0.00038736793935716574,0.08865294719119417,98.79677350611125
opp_ewma_alpha05_balltouch_wide,0.0003861101487309574,0.08836508948632608,98.88513859559758
opp_rolling3_throw_in_def_zone_pct,0.0003857679661307293,0.08828677764658502,98.97342537324417
opp_ewma_alpha05_takeon_wide,0.00038299052646965443,0.08765113337512412,99.06107650661929
rolling5_passes_total,0.000377218370031856,0.08633011883605655,99.14740662545535
std_corners_total,0.0003765143034576552,0.08616898630421799,99.23357561175956
opp_rolling3_throw_in_att_zone_pct,0.0003735940779043036,0.08550066408272161,99.31907627584228
opp_rolling5_wide_events,0.00036912844816209053,0.0844786609753689,99.40355493681764
ewma_alpha03_corners_total,0.00035752884044559346,0.08182397713128076,99.48537891394892
ewma_alpha03_passes_total,0.00033390353268340523,0.07641709403999367,99.56179600798892
matchday_number,0.0003273650038934832,0.07492068768152477,99.63671669567044
opp_rolling3_total_events,0.0003177820625320981,0.07272753768605271,99.70944423335649
opp_ewma_alpha05_total_events,0.0003107784986285534,0.07112470348681191,99.78056893684331
ewma_alpha05_wide_ratio,0.0002671804373321885,0.061146860116090045,99.8417157969594
opp_rolling5_aerial_wide,0.0002623896029305489,0.06005043073704765,99.90176622769646
opp_rolling3_avg_zone_x,0.00023395585732895438,0.05354308954755956,99.95530931724402
rolling10_possession_pct,0.00019527537703066354,0.04469068275595715,99.99999999999997
rolling10_dispossessed_wide,0.0,0.0,99.99999999999997
opp_std_foul_wide,0.0,0.0,99.99999999999997
opp_std_takeon_wide,0.0,0.0,99.99999999999997
opp_std_press_recoveries_high,0.0,0.0,99.99999999999997
opp_std_crosses,0.0,0.0,99.99999999999997
rolling5_possession_pct,0.0,0.0,99.99999999999997
rolling10_corners_total,0.0,0.0,99.99999999999997
rolling3_corners_total,0.0,0.0,99.99999999999997
rolling5_corners_total,0.0,0.0,99.99999999999997
press_recoveries_high,0.0,0.0,99.99999999999997
opp_std_touches_total,0.0,0.0,99.99999999999997
opp_std_fouls_committed,0.0,0.0,99.99999999999997
rolling3_throw_ins_total,0.0,0.0,99.99999999999997
ewma_alpha05_fouls_committed,0.0,0.0,99.99999999999997
ewma_alpha03_fouls_committed,0.0,0.0,99.99999999999997
ewma_alpha03_leading_pct,0.0,0.0,99.99999999999997
ewma_alpha05_total_events,0.0,0.0,99.99999999999997
ewma_alpha03_total_events,0.0,0.0,99.99999999999997
ewma_alpha05_foul_wide,0.0,0.0,99.99999999999997
ewma_alpha03_foul_wide,0.0,0.0,99.99999999999997
ewma_alpha03_aerials_total,0.0,0.0,99.99999999999997
ewma_alpha05_balltouch_wide,0.0,0.0,99.99999999999997
ewma_alpha03_balltouch_wide,0.0,0.0,99.99999999999997
ewma_alpha03_dispossessed_wide,0.0,0.0,99.99999999999997
ewma_alpha03_takeon_wide,0.0,0.0,99.99999999999997
ewma_alpha03_aerial_wide,0.0,0.0,99.99999999999997
ewma_alpha05_std_y,0.0,0.0,99.99999999999997
ewma_alpha05_avg_zone_x,0.0,0.0,99.99999999999997
ewma_alpha05_aerial_wide,0.0,0.0,99.99999999999997
opp_std_aerial_wide,0.0,0.0,99.99999999999997
opp_std_std_y,0.0,0.0,99.99999999999997
foul_wide,0.0,0.0,99.99999999999997
opp_std_wide_ratio,0.0,0.0,99.99999999999997
referee_id,0.0,0.0,99.99999999999997
is_home,0.0,0.0,99.99999999999997
opp_std_dispossessed_wide,0.0,0.0,99.99999999999997
relative_humidity_2m,0.0,0.0,99.99999999999997
ewma_alpha05_throw_in_retention3_pct,0.0,0.0,99.99999999999997
std_possession_pct,0.0,0.0,99.99999999999997
ewma_alpha03_throw_in_att_zone_pct,0.0,0.0,99.99999999999997
ewma_alpha03_throw_in_retention3_pct,0.0,0.0,99.99999999999997
ewma_alpha03_press_recoveries_high,0.0,0.0,99.99999999999997
rolling3_heads,0.0,0.0,99.99999999999997
std_throw_in_att_zone_pct,0.0,0.0,99.99999999999997
ewma_alpha05_throw_in_att_zone_pct,0.0,0.0,99.99999999999997
std_leading_pct,0.0,0.0,99.99999999999997
std_total_events,0.0,0.0,99.99999999999997
std_dispossessed_wide,0.0,0.0,99.99999999999997
std_std_y,0.0,0.0,99.99999999999997
std_avg_zone_x,0.0,0.0,99.99999999999997
std_avg_pass_length,0.0,0.0,99.99999999999997
rolling3_throw_in_att_zone_pct,0.0,0.0,99.99999999999997
ewma_alpha05_press_recoveries_high,0.0,0.0,99.99999999999997
rolling5_throw_in_def_zone_pct,0.0,0.0,99.99999999999997
rolling5_press_recoveries_high,0.0,0.0,99.99999999999997
ewma_alpha03_avg_pass_length,0.0,0.0,99.99999999999997
ewma_alpha03_wide_ratio,0.0,0.0,99.99999999999997
ewma_alpha05_wide_events,0.0,0.0,99.99999999999997
ewma_alpha03_wide_events,0.0,0.0,99.99999999999997
ewma_alpha05_heads,0.0,0.0,99.99999999999997
ewma_alpha03_heads,0.0,0.0,99.99999999999997
ewma_alpha05_long_balls,0.0,0.0,99.99999999999997
ewma_alpha05_crosses,0.0,0.0,99.99999999999997
ewma_alpha03_crosses,0.0,0.0,99.99999999999997
ewma_alpha05_touches_total,0.0,0.0,99.99999999999997
ewma_alpha03_touches_total,0.0,0.0,99.99999999999997
ewma_alpha05_aerials_total,0.0,0.0,99.99999999999997
std_wide_ratio,0.0,0.0,99.99999999999997
std_press_recoveries_high,0.0,0.0,99.99999999999997
std_wide_events,0.0,0.0,99.99999999999997
std_heads,0.0,0.0,99.99999999999997
rolling5_avg_zone_x,0.0,0.0,99.99999999999997
rolling10_avg_zone_x,0.0,0.0,99.99999999999997
rolling10_avg_pass_length,0.0,0.0,99.99999999999997
rolling5_avg_pass_length,0.0,0.0,99.99999999999997
rolling3_avg_pass_length,0.0,0.0,99.99999999999997
rolling3_avg_zone_x,0.0,0.0,99.99999999999997
rolling5_wide_ratio,0.0,0.0,99.99999999999997
rolling3_wide_ratio,0.0,0.0,99.99999999999997
rolling10_wide_events,0.0,0.0,99.99999999999997
rolling5_wide_events,0.0,0.0,99.99999999999997
rolling3_wide_events,0.0,0.0,99.99999999999997
rolling5_heads,0.0,0.0,99.99999999999997
opp_rolling10_fouls_committed,0.0,0.0,99.99999999999997
rolling10_wide_ratio,0.0,0.0,99.99999999999997
opp_rolling5_fouls_committed,0.0,0.0,99.99999999999997
opp_rolling3_fouls_committed,0.0,0.0,99.99999999999997
opp_rolling5_possession_pct,0.0,0.0,99.99999999999997
opp_rolling10_possession_pct,0.0,0.0,99.99999999999997
opp_rolling10_corners_total,0.0,0.0,99.99999999999997
opp_rolling5_corners_total,0.0,0.0,99.99999999999997
opp_rolling10_throw_ins_total,0.0,0.0,99.99999999999997
opp_rolling3_possession_pct,0.0,0.0,99.99999999999997
ewma_alpha03_avg_zone_x,0.0,0.0,99.99999999999997
ewma_alpha05_avg_pass_length,0.0,0.0,99.99999999999997
std_touches_total,0.0,0.0,99.99999999999997
std_crosses,0.0,0.0,99.99999999999997
std_fouls_committed,0.0,0.0,99.99999999999997
std_passes_total,0.0,0.0,99.99999999999997
rolling3_passes_total,0.0,0.0,99.99999999999997
opp_std_leading_pct,0.0,0.0,99.99999999999997
opp_rolling3_wide_events,0.0,0.0,99.99999999999997
opp_rolling10_wide_events,0.0,0.0,99.99999999999997
opp_rolling3_wide_ratio,0.0,0.0,99.99999999999997
opp_rolling5_wide_ratio,0.0,0.0,99.99999999999997
h2h_count,0.0,0.0,99.99999999999997
h2h_last3_throw_ins,0.0,0.0,99.99999999999997
has_full_history,0.0,0.0,99.99999999999997
opp_rolling5_throw_ins_total,0.0,0.0,99.99999999999997
opp_rolling3_touches_total,0.0,0.0,99.99999999999997
opp_rolling5_touches_total,0.0,0.0,99.99999999999997
opp_rolling3_takeon_wide,0.0,0.0,99.99999999999997
opp_rolling5_takeon_wide,0.0,0.0,99.99999999999997
opp_rolling3_long_balls,0.0,0.0,99.99999999999997
opp_rolling10_touches_total,0.0,0.0,99.99999999999997
opp_rolling5_heads,0.0,0.0,99.99999999999997
opp_rolling3_heads,0.0,0.0,99.99999999999997
opp_rolling10_avg_pass_length,0.0,0.0,99.99999999999997
opp_rolling5_avg_pass_length,0.0,0.0,99.99999999999997
opp_rolling3_avg_pass_length,0.0,0.0,99.99999999999997
opp_rolling10_wide_ratio,0.0,0.0,99.99999999999997
rolling10_crosses,0.0,0.0,99.99999999999997
rolling5_crosses,0.0,0.0,99.99999999999997
rolling3_crosses,0.0,0.0,99.99999999999997
rolling10_touches_total,0.0,0.0,99.99999999999997
rolling5_touches_total,0.0,0.0,99.99999999999997
rolling3_touches_total,0.0,0.0,99.99999999999997
rolling10_aerials_total,0.0,0.0,99.99999999999997
rolling5_aerials_total,0.0,0.0,99.99999999999997
opp_rolling3_dispossessed_wide,0.0,0.0,99.99999999999997
opp_rolling5_std_y,0.0,0.0,99.99999999999997
opp_rolling10_long_balls,0.0,0.0,99.99999999999997
opp_rolling5_long_balls,0.0,0.0,99.99999999999997
rolling3_fouls_committed,0.0,0.0,99.99999999999997
rolling5_fouls_committed,0.0,0.0,99.99999999999997
rolling10_fouls_committed,0.0,0.0,99.99999999999997
rolling3_aerials_total,0.0,0.0,99.99999999999997
ewma_alpha05_passes_total,0.0,0.0,99.99999999999997
ewma_alpha05_possession_pct,0.0,0.0,99.99999999999997
rolling3_takeon_wide,0.0,0.0,99.99999999999997
rolling10_takeon_wide,0.0,0.0,99.99999999999997
ewma_alpha05_throw_ins_total,0.0,0.0,99.99999999999997
ewma_alpha03_throw_ins_total,0.0,0.0,99.99999999999997
rolling5_throw_in_retention3_pct,0.0,0.0,99.99999999999997
rolling3_throw_in_retention3_pct,0.0,0.0,99.99999999999997
rolling10_throw_in_att_zone_pct,0.0,0.0,99.99999999999997
rolling5_throw_in_att_zone_pct,0.0,0.0,99.99999999999997
ewma_alpha03_possession_pct,0.0,0.0,99.99999999999997
ewma_alpha05_corners_total,0.0,0.0,99.99999999999997
opp_rolling10_takeon_wide,0.0,0.0,99.99999999999997
rolling10_passes_total,0.0,0.0,99.99999999999997
opp_rolling5_throw_in_att_zone_pct,0.0,0.0,99.99999999999997
opp_rolling10_throw_in_att_zone_pct,0.0,0.0,99.99999999999997
opp_rolling3_press_recoveries_high,0.0,0.0,99.99999999999997
opp_rolling5_leading_pct,0.0,0.0,99.99999999999997
opp_rolling3_leading_pct,0.0,0.0,99.99999999999997
opp_rolling10_press_recoveries_high,0.0,0.0,99.99999999999997
opp_rolling5_total_events,0.0,0.0,99.99999999999997
opp_rolling10_foul_wide,0.0,0.0,99.99999999999997
opp_rolling5_foul_wide,0.0,0.0,99.99999999999997
opp_rolling3_foul_wide,0.0,0.0,99.99999999999997
opp_ewma_alpha05_touches_total,0.0,0.0,99.99999999999997
opp_ewma_alpha03_touches_total,0.0,0.0,99.99999999999997
opp_rolling3_std_y,0.0,0.0,99.99999999999997
opp_rolling10_avg_zone_x,0.0,0.0,99.99999999999997
opp_ewma_alpha03_fouls_committed,0.0,0.0,99.99999999999997
opp_ewma_alpha05_aerials_total,0.0,0.0,99.99999999999997
opp_ewma_alpha05_possession_pct,0.0,0.0,99.99999999999997
opp_ewma_alpha05_passes_total,0.0,0.0,99.99999999999997
opp_ewma_alpha05_corners_total,0.0,0.0,99.99999999999997
opp_ewma_alpha05_throw_ins_total,0.0,0.0,99.99999999999997
opp_ewma_alpha03_throw_ins_total,0.0,0.0,99.99999999999997
opp_ewma_alpha03_passes_total,0.0,0.0,99.99999999999997
